id,textform,kernthema,kernthema_punkte,austausch,textverstaendnis,begriff,begriff_punkte,stelle_1,stelle_1_punkte,wahr_oder_falsch,wahr_oder_falsch_punkte,jahreszahl_1,jahreszahl_1_punkte,stelle_2,stelle_2_punkte,land,land_punkte,parteien,parteien_punkte,parteichefin,parteichefin_punkte,vorwurf,vorwurf_punkte,jahreszahl_2,jahreszahl_2,gesamtpunkte
1,online,Wahlen in Indien ,2,A224,A232,A241,1,A254,0,A261,1,A274,0,A284,0,Indien ,1,,0,,0,,0,,0,5
2,online,,0,A224,A232,A244,0,A254,0,A261,1,A274,0,A284,0,Indien,1,,0,,0,,0,,0,2
3,print,Wahlen in Indien ,2,A224,A231,A244,1,A254,0,A263,0,A274,0,A284,0,Indien,1,,0,,0,Korruption,1,,0,5
4,online,Die anstehende Parlamentswahl in Indien im Jahr 2014 ,2,A224,A232,A241,1,A254,0,A263,0,A273,1,A284,0,Indien,1,300,1,,0,,0,2014,1,7
5,online,Neuwahlen in indien,2,A224,A231,A241,1,A254,0,A261,1,A274,0,A284,0,Indien,1,,0,,0,Korruption,1,,0,6
6,print,Wahlen in Indien. Drei unterschiedliche Parteien und deren Anwärter.,2,A224,A231,A244,1,A254,0,A263,0,A273,1,A283,0,Indien,1,300,1,,0,korruption,1,,0,7
7,online,Indische Wahl 2014,2,A224,A231,A241,1,A252,0,A261,1,A273,1,A283,0,,0,,0,,0,Korruption,1,2014,1,7
8,online,Vetternwirtschaft und Intranzparent und Machtsicherung,1,A224,A231,A241,1,A252,0,A261,1,A273,1,A281,0,2016,0,300,1,Ghandi,1,Vetternwirtschaft,0,2014,1,7
9,print,Politik und Korruption in Indien mit Bezug auf eine anstehende wahl,2,A224,A231,A243,0,A254,0,A261,1,A273,1,A284,0,Indien,1,600,0,,0,,0,,0,5
10,print,Die anstehenden Wahlen in Indien und deren politische Ausrichtung. Wahl zwischen 3 Hauptrichtungen),2,A224,A232,A244,0,A254,0,A261,1,A274,0,A284,0,,0,,0,,0,,0,,0,3
11,online,"Parlamentswahlen in Indien, die Interressenverteilung der Gesellschaftsschichten und wie sie sich gegenseitig beeinflussen.",2,A224,A231,A241,1,A253,1,A261,1,A274,0,A284,0,Indien,1,200,0,,0,,0,,0,6
12,print,"Die Wahlen in Indien und die Personen, die darauf Einfluss haben",2,A224,A231,A241,1,A254,0,A261,1,A273,1,A284,0,,0,,0,Ghandi,1,Korruption,1,2011,0,7
13,print,Die Gegensetzlichkeiten der drei Kandidaten bei den kommenden Wahlen.,2,A224,A231,A241,1,A254,0,A261,1,A273,1,A284,0,Indien,1,,0,,0,,0,2014,1,7
14,online,Wahlen in Indien und die wichtigsten Kandidaten,2,A224,A231,A241,1,A254,0,A261,1,A273,1,A284,0,Indien,1,300,1,Ghandi,1,Korruption ,1,2014,1,10
15,online,Politik in Indien,2,A224,A232,A241,1,A254,0,A261,1,A273,1,A281,0,Indien,1,,0,,0,Korruption,1,,0,7
16,online,"Wahlen in Indien, Benachteiligung von Frauen",2,A224,A233,A241,1,A254,0,A261,1,A273,1,A283,0,Indien ,1,,0,,0,,0,2014,1,7
17,print,Weiß nicht mehr ,0,A224,A233,A244,0,A254,0,A261,1,A274,0,A284,0,,1,,0,,0,,0,,0,2
18,online,Wahlen und Frauenrechte in Indien,2,A224,A231,A243,0,A251,0,A261,1,A274,0,A284,0,Indien,1,,0,,0,Korruption,1,,0,5
19,online,Politische und Gesellschaftliche Situation Indiens,1,A224,A231,A242,0,A251,0,A261,1,A273,1,A282,1,Indien,1,200,0,,0,Korruption,1,2014,1,7
20,online,Wahlen in Indien mit Kandidatenvorstellung und Kastenthema,2,A224,A232,A241,1,A254,0,A263,0,A274,0,A284,0,Indien,1,3,0,--,0,Koppruption,1,--,0,5
21,online,Politik in Indien,1,A224,A232,A241,1,A252,0,A263,0,A273,1,A283,0,Indien,1,,0,,0,Korruption ,1,,0,5
22,print,Parlamentswahl Indien und Korruption,2,A224,A231,A241,1,A253,1,A263,0,A273,1,A284,0,2011,0,500,0,Gandhi,1,Korruption ,1,2014,1,8
23,print,Die Wahlen in Indien,2,A224,A233,A241,1,A254,0,A261,1,A273,1,A282,1,,0,300,1,Gandhi,1,Korruption ,1,,0,9
24,online,Parlamentswahl in Indien,2,A224,A231,A241,1,A254,0,A261,1,A274,0,A284,0,Indien,1,300,1,,0,Korruption ,1,,0,7
25,print,Rolle der Frauen in Indien,1,A224,A231,A241,1,A254,0,A261,1,A273,1,A281,0,Indien,1,300,1,Gandhi ,1,Korruption,1,2015,0,8
26,print,Die politische Lage in Indien ,1,A223,A232,A241,1,A254,0,A262,0,A273,1,A283,0,Indien ,1,300,1,,0,Korruption ,1,,0,6
27,print,Wahlen in Indien,2,A224,A231,A241,1,A254,0,A261,1,A272,0,A283,0,Indien,1,500,0,Gandhi,1,Korruption,1,2014,1,8
28,print,Irgendein Typ irgendwas mit Israel und frauen,0,A224,A231,A241,1,A251,0,A261,1,A273,1,A281,0,Israel,1,300,1,Arwind,0,Korruption,1,2014,1,7
29,print,Parlamentswahl in Indien Kritikpunkt war dass keine Partei das Frauenwahlrecht berücksichtigt hat,2,A224,A231,A241,1,A254,0,A263,0,A273,1,A284,0,Indien,1,300,1,,0,Korruption ,1,2014,1,8
30,print,Parlamentswahlen in Indien mit über 300 Parteien. Frauenrechte wurden dabei nicht beachtet. ,2,A224,A232,A241,1,A251,0,A261,1,A273,1,A281,0,Indien,1,300,1,,0,Korruption ,1,2014,1,9
31,print,Die Parlamentswahlen in Indien und die dortige Gesellschaft.,2,A224,A231,A243,0,A252,0,A261,1,A274,0,A284,0,Indien,1,,0,Gandhi,1,Korruption ,1,2005,0,6
32,online,Kandidaten für die Parlamentswahl in Indien,2,A224,A231,A241,1,A253,1,A261,1,A271,0,A283,0,Indien,1,500,0,Gandhi,1,Korruption,1,2025,0,8
33,print,Wahlen in Indien,2,A224,A231,A242,0,A252,0,A261,1,A273,1,A283,0,Indien,1,300,1,Vetternwirtschaft,0,Korruption,1,2014,1,8
34,online,Bevorstehende Wahl in Indien,2,A224,A231,A241,1,A251,0,A261,1,A273,1,A283,0,Indien,1,300,1,/,0,Korruption,1,2014,1,9
35,print,Parlamentswahl in Indien und wie Korruption dort eine Rolle spielt,2,A224,A232,A242,0,A254,0,A261,1,A272,0,A282,1,Indien,1,,0,,0,Korruption,1,2014,1,7
36,print,Präsidentschaftswahl,1,A224,A231,A241,1,A253,1,A261,1,A274,0,A284,0,2014,0,Dreihundert,1,Gandhi,1,,0,2014,1,7
37,print,"Es ging um Inden und die strukturelle, politische Veränderung der Gesellschaft.",1,A224,A232,A241,1,A252,0,A263,0,A273,1,A283,0,Indien,1,200,0,,0,Korruption ,1,2018,0,5
